Gene,Control,Experimental,Ratio
Gene_1,104.96714153011231,65.84629257949585,0.6273038554699165
Gene_2,98.61735698828817,75.79354677234642,0.7685619356169491
Gene_3,106.47688538100692,76.57285483473231,0.7191500254795318
Gene_4,115.23029856408026,71.9772273077838,0.6246380353493299
Gene_5,97.65846625276664,78.3871428833399,0.8026661270765064
Gene_6,97.6586304305082,84.04050856814538,0.8605538312146085
Gene_7,115.79212815507393,98.8618590121053,0.8537873911403125
Gene_8,107.67434729152907,81.74577812831839,0.7591945545487367
Gene_9,95.30525614065049,82.57550390722764,0.866431792443468
Gene_10,105.42560043585964,0.0,0.0
Gene_11,95.36582307187538,60.81228784700959,0.6376738111008232
Gene_12,95.34270246429745,79.73486124550783,0.8362974741078457
Gene_13,102.41962271566034,80.60230209941027,0.7869810487701189
Gene_14,80.86719755342202,104.63242112485288,1.2938796482434205
Gene_15,82.75082167486967,78.07639035218878,0.9435119648594323
Gene_16,94.37712470759028,83.01547342333612,0.87961435231836
Gene_17,89.87168879665576,79.65288230294756,0.8862955995315795
Gene_18,103.14247332595274,68.31321962380468,0.6623189983812003
Gene_19,90.91975924478788,91.4282281451502,1.0055925016144547
Gene_20,85.87696298664709,87.51933032686775,1.0191246555898352
Gene_21,114.65648768921554,87.91031947043047,0.7667278253692679
Gene_22,97.74223699513465,70.9061254520526,0.7254399697807421
Gene_23,100.67528204687925,94.027943109361,0.9339724825958479
Gene_24,85.75251813786544,65.98148937207719,0.7694408374806895
Gene_25,94.55617275474818,85.8685709380027,0.9081223196366182
Gene_26,101.10922589709868,101.9045562580998,1.0078660513315625
Gene_27,88.49006422577698,70.09463674869312,0.7921187238586578
Gene_28,103.75698018345672,74.33702270397228,0.7164532214848015
Gene_29,93.99361310081196,80.99651365087641,0.8617235892826501
Gene_30,97.08306250206724,74.965243458838,0.7721763356738126
Gene_31,93.98293387770605,64.49336568933867,0.6862242220833386
Gene_32,118.52278184508938,80.68562974806028,0.6807605128060301
Gene_33,99.86502775262066,69.37696286273895,0.6947072906703153
Gene_34,89.422890710441,84.73592430635182,0.9475865031106412
Gene_35,108.22544912103189,70.80575765766197,0.6542431399705044
Gene_36,87.79156350028978,95.4993440501754,1.0877963695208615
Gene_37,102.08863595004756,72.16746707663764,0.7069098965329452
Gene_38,80.40329876120225,76.77938483794324,0.9549282930042208
Gene_39,86.71813951101569,88.1351721736967,1.0163406718671704
Gene_40,101.96861235869125,67.69135683566044,0.6638450329945164
Gene_41,107.3846657999541,82.2745993460413,0.7661671127170977
Gene_42,101.7136828118997,0.0,0.0
Gene_43,98.8435171761176,63.92516765438772,0.6467310095864659
Gene_44,96.98896304410712,81.84633858532304,0.8438727048571727
Gene_45,85.21478009632573,82.59882794248423,0.9693016616262525
Gene_46,92.80155791605291,87.81822871777311,0.9463012334039946
Gene_47,95.39361229040212,67.63049289121918,0.7089624899132132
Gene_48,110.57122226218917,66.79543386915724,0.6040941983147322
Gene_49,103.4361828956846,85.21941565616898,0.8238839956237826
Gene_50,82.36959844637266,0.0,0.0
Gene_51,103.24083969394796,82.50492850345877,0.7991501110223463
Gene_52,96.14917719583684,83.46448209496975,0.8680727649386861
Gene_53,93.2307799969404,73.1997527842151,0.785145772529387
Gene_54,106.11676288840869,82.32253697161003,0.7757731646806789
Gene_55,110.30999522495952,82.93072473298682,0.7517970113575195
Gene_56,109.31280119116198,72.85648581973632,0.6664954609691844
Gene_57,91.60782476777362,98.65774511144755,1.0769576219230783
Gene_58,96.90787624148786,84.73832920911788,0.8744214866287618
Gene_59,103.31263431403563,68.08696502797352,0.6590381271375974
Gene_60,109.7554512712236,86.5655360863383,0.7887128619463352
Gene_61,95.2082576215471,0.0,0.0
Gene_62,98.14341023336183,87.87084603742451,0.8953310856886714
Gene_63,88.93665025993971,91.58595579007404,1.0297886812960806
Gene_64,88.0379337591933,71.7931768164829,0.8154800294706593
Gene_65,108.12525822394198,89.63376129244321,0.8289807836278145
Gene_66,113.56240028570824,84.12780926936499,0.740806896100385
Gene_67,99.27989878419666,88.2206015999449,0.8886048704754302
Gene_68,110.03532897892023,98.96792982653947,0.8994195841001124
Gene_69,103.61636025047636,77.5461188399713,0.7483964757352571
Gene_70,93.54880245394877,72.4626383564251,0.7745971776826994
Gene_71,103.61395605508416,71.10485570374476,0.6862478609150235
Gene_72,115.38036566465968,71.84189715034562,0.6226527081665365
